RUBRO,CATEGORIA,SUB CATEGORIA,MAQUINA,NOMBRE COMERCIAL,ESPECIFICACIONES GENERALES,DISPONIBILIDAD,TONELAJE (T),LARGO ÚTIL (mm),CONTROL,ESP. MÁX ~ACERO (mm),MEDIDAS (mm),PESO (kg),MATERIALES Y ESPESORES,APLICACIONES TÍPICAS,REQUERIMIENTOS DE INSTALACIÓN,FOB SHANGHAI (USD) 🔵,SEÑA,COSTO C/IVA (int),VENT SIN IVA,VENT CON IVA,RESTANTE,MENSAJE WHATSAPP,URL FICHA PDF
METALURGICA,GUILLOTINA,ELECTRICA,3x1500,Guillotina Eléctrica 3x1500,Guillotina eléctrica para corte de chapa de hasta 3 mm de espesor en un largo de 1500 mm. Práctica y de operación sencilla para trabajos de chapa en taller.,POR PEDIDO,,1500,Eléctrica,3 mm,2300x1200x1400,930,"Acero al carbono ~3 mm · Galvanizado ~3 mm · Inoxidable ~2 mm · Aluminio ~4,5 mm","Corte de chapa fina: cartelería, carpintería metálica, conductos, bandejas y herrería liviana. Ideal para formatos cortos.",380V trifásica 50Hz · Motor ~4 kW · No requiere aire comprimido · Espacio: 2300 × 1200 × 1400 mm · Peso 930 kg,2200,2310,4400,4579.185520361991,5060,2750,"🔵 Máquina: Guillotina Eléctrica 3x1500
⚙️ Especificaciones: Guillotina eléctrica para corte de chapa de hasta 3 mm de espesor en un largo de 1500 mm. Práctica y de operación sencilla para trabajos de chapa en taller.
📐 Dimensiones: 2300 x 1200 x 1400 mm
⚖️ Peso: 930 kg
💰 Seña: USD 2.310,00 (Para empezar la operacion)
💰 Restante: USD 2.750,00 (Cuando llega a Argentina)
💰 Valor total sin IVA : USD 4.579,19 (Sin IVA)
💰 Valor total con IVA : USD 5.060,00 (10,5%)
¿Cómo iniciamos el proceso?
Para confirmar el pedido y reservar la producción únicamente se requiere el pago de la seña. El saldo restante se abona al arribo de la mercadería a la Argentina, previo a la liberación de la carga.
⏱️ Plazo estimado de entrega: 45 días hábiles aproximadamente, desde la acreditación del depósito en China hasta el ingreso al puerto de Buenos Aires.",https://drive.google.com/file/d/1L8_eJBfpcAcjzdmldUEzmcY79U3Cgjep/view?usp=drive_link
METALURGICA,GUILLOTINA,ELECTRICA,4x2500,Guillotina Eléctrica 4x2500,Guillotina eléctrica para corte de chapa de hasta 4 mm de espesor en un largo de 2500 mm. Práctica y de operación sencilla para trabajos de chapa en taller.,POR PEDIDO,,2500,Eléctrica,4 mm,4200x1200x1400,1720,"Acero al carbono ~4 mm · Galvanizado ~4 mm · Inoxidable ~2,6 mm · Aluminio ~6 mm","Corte de chapa media: estructuras, bateas, carrocerías, despiece de chapa y herrería general.","380V trifásica 50Hz · Motor ~5,5 kW · No requiere aire comprimido · Espacio: 4200 × 1200 × 1400 mm · Peso 1720 kg",4450,4672.5,8900,9262.443438914028,10235,5562.5,"🔵 Máquina: Guillotina Eléctrica 4x2500
⚙️ Especificaciones: Guillotina eléctrica para corte de chapa de hasta 4 mm de espesor en un largo de 2500 mm. Práctica y de operación sencilla para trabajos de chapa en taller.
📐 Dimensiones: 4200 x 1200 x 1400 mm
⚖️ Peso: 1720 kg
💰 Seña: USD 4.672,50 (Para empezar la operacion)
💰 Restante: USD 5.562,50 (Cuando llega a Argentina)
💰 Valor total sin IVA : USD 9.262,44 (Sin IVA)
💰 Valor total con IVA : USD 10.235,00 (10,5%)
¿Cómo iniciamos el proceso?
Para confirmar el pedido y reservar la producción únicamente se requiere el pago de la seña. El saldo restante se abona al arribo de la mercadería a la Argentina, previo a la liberación de la carga.
⏱️ Plazo estimado de entrega: 45 días hábiles aproximadamente, desde la acreditación del depósito en China hasta el ingreso al puerto de Buenos Aires.",https://drive.google.com/file/d/1L8_eJBfpcAcjzdmldUEzmcY79U3Cgjep/view?usp=drive_link
METALURGICA,GUILLOTINA,ELECTRICA,6x1600,Guillotina Eléctrica 6x1600,Guillotina eléctrica para corte de chapa de hasta 6 mm de espesor en un largo de 1600 mm. Práctica y de operación sencilla para trabajos de chapa en taller.,POR PEDIDO,,1600,Eléctrica,6 mm,2400x1200x1400,1650,"Acero al carbono ~6 mm · Galvanizado ~6 mm · Inoxidable ~3,9 mm · Aluminio ~9 mm","Corte de chapa media: estructuras, bateas, carrocerías, despiece de chapa y herrería general. Ideal para formatos cortos.","380V trifásica 50Hz · Motor ~7,5 kW · No requiere aire comprimido · Espacio: 2400 × 1200 × 1400 mm · Peso 1650 kg",3800,3990,7600,7909.502262443439,8740,4750,"🔵 Máquina: Guillotina Eléctrica 6x1600
⚙️ Especificaciones: Guillotina eléctrica para corte de chapa de hasta 6 mm de espesor en un largo de 1600 mm. Práctica y de operación sencilla para trabajos de chapa en taller.
📐 Dimensiones: 2400 x 1200 x 1400 mm
⚖️ Peso: 1650 kg
💰 Seña: USD 3.990,00 (Para empezar la operacion)
💰 Restante: USD 4.750,00 (Cuando llega a Argentina)
💰 Valor total sin IVA : USD 7.909,50 (Sin IVA)
💰 Valor total con IVA : USD 8.740,00 (10,5%)
¿Cómo iniciamos el proceso?
Para confirmar el pedido y reservar la producción únicamente se requiere el pago de la seña. El saldo restante se abona al arribo de la mercadería a la Argentina, previo a la liberación de la carga.
⏱️ Plazo estimado de entrega: 45 días hábiles aproximadamente, desde la acreditación del depósito en China hasta el ingreso al puerto de Buenos Aires.",https://drive.google.com/file/d/1L8_eJBfpcAcjzdmldUEzmcY79U3Cgjep/view?usp=drive_link
METALURGICA,GUILLOTINA,HIDRAULICA SWING BEAM,4x3200,Guillotina Hidráulica Swing Beam 4x3200,Guillotina hidráulica Swing Beam (corte basculante) para corte de chapa de hasta 4 mm de espesor en un largo de mesa de 3200 mm. Corte recto de acero al carbono para chapistería y carpintería metálica.,POR PEDIDO,,3200,Swing Beam,4 mm,3800x1600x1950,4300,"Acero al carbono ~4 mm · Galvanizado ~4 mm · Inoxidable ~2,6 mm · Aluminio ~6 mm","Corte de chapa media: estructuras, bateas, carrocerías, despiece de chapa y herrería general.","380V trifásica 50Hz · Motor ~5,5 kW · No requiere aire comprimido · Espacio: 3800 × 1600 × 1950 mm + dejar ~2 m libres para el manejo de chapa · Peso 4300 kg",7180,7539,14360,14944.796380090498,16514,8975,"🔵 Máquina: Guillotina Hidráulica Swing Beam 4x3200
⚙️ Especificaciones: Guillotina hidráulica Swing Beam (corte basculante) para corte de chapa de hasta 4 mm de espesor en un largo de mesa de 3200 mm. Corte recto de acero al carbono para chapistería y carpintería metálica.
📐 Dimensiones: 3800 x 1600 x 1950 mm
⚖️ Peso: 4300 kg
💰 Seña: USD 7.539,00 (Para empezar la operacion)
💰 Restante: USD 8.975,00 (Cuando llega a Argentina)
💰 Valor total sin IVA : USD 14.944,80 (Sin IVA)
💰 Valor total con IVA : USD 16.514,00 (10,5%)
¿Cómo iniciamos el proceso?
Para confirmar el pedido y reservar la producción únicamente se requiere el pago de la seña. El saldo restante se abona al arribo de la mercadería a la Argentina, previo a la liberación de la carga.
⏱️ Plazo estimado de entrega: 45 días hábiles aproximadamente, desde la acreditación del depósito en China hasta el ingreso al puerto de Buenos Aires.",https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link
METALURGICA,GUILLOTINA,HIDRAULICA SWING BEAM,6x3200,Guillotina Hidráulica Swing Beam 6x3200,Guillotina hidráulica Swing Beam (corte basculante) para corte de chapa de hasta 6 mm de espesor en un largo de mesa de 3200 mm. Corte recto de acero al carbono para chapistería y carpintería metálica.,POR PEDIDO,,3200,Swing Beam,6 mm,3800x1700x1950,5000,"Acero al carbono ~6 mm · Galvanizado ~6 mm · Inoxidable ~3,9 mm · Aluminio ~9 mm","Corte de chapa media: estructuras, bateas, carrocerías, despiece de chapa y herrería general.","380V trifásica 50Hz · Motor ~7,5 kW · No requiere aire comprimido · Espacio: 3800 × 1700 × 1950 mm + dejar ~2 m libres para el manejo de chapa · Peso 5000 kg",8910,9355.5,17820,18545.701357466063,20493,11137.5,"🔵 Máquina: Guillotina Hidráulica Swing Beam 6x3200
⚙️ Especificaciones: Guillotina hidráulica Swing Beam (corte basculante) para corte de chapa de hasta 6 mm de espesor en un largo de mesa de 3200 mm. Corte recto de acero al carbono para chapistería y carpintería metálica.
📐 Dimensiones: 3800 x 1700 x 1950 mm
⚖️ Peso: 5000 kg
💰 Seña: USD 9.355,50 (Para empezar la operacion)
💰 Restante: USD 11.137,50 (Cuando llega a Argentina)
💰 Valor total sin IVA : USD 18.545,70 (Sin IVA)
💰 Valor total con IVA : USD 20.493,00 (10,5%)
¿Cómo iniciamos el proceso?
Para confirmar el pedido y reservar la producción únicamente se requiere el pago de la seña. El saldo restante se abona al arribo de la mercadería a la Argentina, previo a la liberación de la carga.
⏱️ Plazo estimado de entrega: 45 días hábiles aproximadamente, desde la acreditación del depósito en China hasta el ingreso al puerto de Buenos Aires.",https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link
METALURGICA,GUILLOTINA,HIDRAULICA SWING BEAM,8x3200,Guillotina Hidráulica Swing Beam 8x3200,Guillotina hidráulica Swing Beam (corte basculante) para corte de chapa de hasta 8 mm de espesor en un largo de mesa de 3200 mm. Corte recto de acero al carbono para chapistería y carpintería metálica.,POR PEDIDO,,3200,Swing Beam,8 mm,3800x1800x2050,6000,"Acero al carbono ~8 mm · Galvanizado ~8 mm · Inoxidable ~5,2 mm · Aluminio ~12 mm","Corte de chapa media: estructuras, bateas, carrocerías, despiece de chapa y herrería general.",380V trifásica 50Hz · Motor ~11 kW · No requiere aire comprimido · Espacio: 3800 × 1800 × 2050 mm + dejar ~2 m libres para el manejo de chapa · Peso 6000 kg,9280,9744,18560,19315.837104072398,21344,11600,"🔵 Máquina: Guillotina Hidráulica Swing Beam 8x3200
⚙️ Especificaciones: Guillotina hidráulica Swing Beam (corte basculante) para corte de chapa de hasta 8 mm de espesor en un largo de mesa de 3200 mm. Corte recto de acero al carbono para chapistería y carpintería metálica.
📐 Dimensiones: 3800 x 1800 x 2050 mm
⚖️ Peso: 6000 kg
💰 Seña: USD 9.744,00 (Para empezar la operacion)
💰 Restante: USD 11.600,00 (Cuando llega a Argentina)
💰 Valor total sin IVA : USD 19.315,84 (Sin IVA)
💰 Valor total con IVA : USD 21.344,00 (10,5%)
¿Cómo iniciamos el proceso?
Para confirmar el pedido y reservar la producción únicamente se requiere el pago de la seña. El saldo restante se abona al arribo de la mercadería a la Argentina, previo a la liberación de la carga.
⏱️ Plazo estimado de entrega: 45 días hábiles aproximadamente, desde la acreditación del depósito en China hasta el ingreso al puerto de Buenos Aires.",https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link
METALURGICA,GUILLOTINA,HIDRAULICA GUILLOTINA,10x3200,Guillotina Hidráulica 10x3200,Guillotina hidráulica de bastidor (corte vertical) para corte de chapa de hasta 10 mm de espesor en un largo de mesa de 3200 mm. Corte recto de acero al carbono para chapistería y carpintería metálica.,POR PEDIDO,,3200,Guillotina,10 mm,3800x1850x2100,7000,"Acero al carbono ~10 mm · Galvanizado ~10 mm · Inoxidable ~6,5 mm · Aluminio ~15 mm","Corte de chapa gruesa: calderería, estructuras pesadas, industria naval y vial, despiece de plancha.",380V trifásica 50Hz · Motor ~15 kW · No requiere aire comprimido · Espacio: 3800 × 1850 × 2100 mm + dejar ~2 m libres para el manejo de chapa · Peso 7000 kg,11700,12285,23400,24352.941176470584,26909.999999999996,14624.999999999996,"🔵 Máquina: Guillotina Hidráulica 10x3200
⚙️ Especificaciones: Guillotina hidráulica de bastidor (corte vertical) para corte de chapa de hasta 10 mm de espesor en un largo de mesa de 3200 mm. Corte recto de acero al carbono para chapistería y carpintería metálica.
📐 Dimensiones: 3800 x 1850 x 2100 mm
⚖️ Peso: 7000 kg
💰 Seña: USD 12.285,00 (Para empezar la operacion)
💰 Restante: USD 14.625,00 (Cuando llega a Argentina)
💰 Valor total sin IVA : USD 24.352,94 (Sin IVA)
💰 Valor total con IVA : USD 26.910,00 (10,5%)
¿Cómo iniciamos el proceso?
Para confirmar el pedido y reservar la producción únicamente se requiere el pago de la seña. El saldo restante se abona al arribo de la mercadería a la Argentina, previo a la liberación de la carga.
⏱️ Plazo estimado de entrega: 45 días hábiles aproximadamente, desde la acreditación del depósito en China hasta el ingreso al puerto de Buenos Aires.",https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link
METALURGICA,GUILLOTINA,HIDRAULICA GUILLOTINA,12x3200,Guillotina Hidráulica 12x3200,Guillotina hidráulica de bastidor (corte vertical) para corte de chapa de hasta 12 mm de espesor en un largo de mesa de 3200 mm. Corte recto de acero al carbono para chapistería y carpintería metálica.,POR PEDIDO,,3200,Guillotina,12 mm,3800x2000x2200,9000,"Acero al carbono ~12 mm · Galvanizado ~12 mm · Inoxidable ~7,8 mm · Aluminio ~18 mm","Corte de chapa gruesa: calderería, estructuras pesadas, industria naval y vial, despiece de plancha.","380V trifásica 50Hz · Motor ~18,5 kW · No requiere aire comprimido · Espacio: 3800 × 2000 × 2200 mm + dejar ~2 m libres para el manejo de chapa · Peso 9000 kg",15000,15750,30000,31221.719457013576,34500,18750,"🔵 Máquina: Guillotina Hidráulica 12x3200
⚙️ Especificaciones: Guillotina hidráulica de bastidor (corte vertical) para corte de chapa de hasta 12 mm de espesor en un largo de mesa de 3200 mm. Corte recto de acero al carbono para chapistería y carpintería metálica.
📐 Dimensiones: 3800 x 2000 x 2200 mm
⚖️ Peso: 9000 kg
💰 Seña: USD 15.750,00 (Para empezar la operacion)
💰 Restante: USD 18.750,00 (Cuando llega a Argentina)
💰 Valor total sin IVA : USD 31.221,72 (Sin IVA)
💰 Valor total con IVA : USD 34.500,00 (10,5%)
¿Cómo iniciamos el proceso?
Para confirmar el pedido y reservar la producción únicamente se requiere el pago de la seña. El saldo restante se abona al arribo de la mercadería a la Argentina, previo a la liberación de la carga.
⏱️ Plazo estimado de entrega: 45 días hábiles aproximadamente, desde la acreditación del depósito en China hasta el ingreso al puerto de Buenos Aires.",https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link
