CATEGORIA,SUB CATEGORIA,MAQUINA,MEDIDAS (mm),TIPO MEDIDA,PESO (kg),FOB SHANGHAI (USD),SEÑA,COSTO CON IVA,VENT SIN IVA,VENT CON IVA,,URL Ficha PDF,
GUILLOTINA,ELECTRICA,3x2500,4250x1200x1400,Empaque,1450,3300,3465,6600,6868.778280542986,7589.999999999999,,https://drive.google.com/file/d/1L8_eJBfpcAcjzdmldUEzmcY79U3Cgjep/view?usp=drive_link,
GUILLOTINA,ELECTRICA,4x1300,2100x1200x1400,Empaque,920,2600,2730,5200,5411.764705882352,5979.999999999999,,https://drive.google.com/file/d/1L8_eJBfpcAcjzdmldUEzmcY79U3Cgjep/view?usp=drive_link,
GUILLOTINA,ELECTRICA,4x1500,2250x1200x1400,Empaque,1020,2750,2887.5,5500,5723.981900452488,6324.999999999999,,https://drive.google.com/file/d/1L8_eJBfpcAcjzdmldUEzmcY79U3Cgjep/view?usp=drive_link,
GUILLOTINA,ELECTRICA,4x1600,2400x1200x1400,Empaque,1120,2850,2992.5,5700,5932.126696832578,6554.999999999999,,https://drive.google.com/file/d/1L8_eJBfpcAcjzdmldUEzmcY79U3Cgjep/view?usp=drive_link,
GUILLOTINA,ELECTRICA,4x2000,3800x1200x1400,Empaque,1450,3950,4147.5,7900,8221.719457013574,9085,,https://drive.google.com/file/d/1L8_eJBfpcAcjzdmldUEzmcY79U3Cgjep/view?usp=drive_link,
GUILLOTINA,ELECTRICA,4x2500,4200x1200x1400,Empaque,1720,4450,4672.5,8900,9262.443438914028,10235,,https://drive.google.com/file/d/1L8_eJBfpcAcjzdmldUEzmcY79U3Cgjep/view?usp=drive_link,
GUILLOTINA,ELECTRICA,6x1300,2100x1200x1400,Empaque,1430,3650,3832.5,7300,7597.285067873303,8395,,https://drive.google.com/file/d/1L8_eJBfpcAcjzdmldUEzmcY79U3Cgjep/view?usp=drive_link,
GUILLOTINA,ELECTRICA,6x1600,2400x1200x1400,Empaque,1650,3800,3990,7600,7909.502262443439,8740,,https://drive.google.com/file/d/1L8_eJBfpcAcjzdmldUEzmcY79U3Cgjep/view?usp=drive_link,
CORTADORA LASER ,1500W,"📊 Configuración básica
Área de trabajo: 1500 × 3000 mm
Fuente láser: 1500W MAX brand
Cabezal láser: Swiss BM110 – Raytools
Enfriador: Water chiller 1500W – Hanli brand
Sistema de control: NC Studio
Voltaje: 220V – Monofásico
Garantía: 2,5 años",,,,10500,11025,21000,21855.2036199095,24149.999999999996,,,
CORTADORA LASER ,2000W,"📊 Configuración básica
Área de trabajo: 1500 × 3000 mm
Fuente láser: 2000W MAX brand
Cabezal láser: Swiss BM110 – Raytools
Enfriador: Water chiller 2000W – Hanli brand
Sistema de control: NC Studio
Voltaje: 220V – Monofásico
Garantía: 2,5 años",,,,11900,12495,23800,24769.230769230766,27369.999999999996,,,
CORTADORA LASER ,3000W,"📊 Configuración básica
Área de trabajo: 1500 × 3000 mm
Fuente láser: 3000W MAX brand
Cabezal láser: Swiss BM110 – Raytools
Enfriador: Water chiller 3000W – Hanli brand
Sistema de control: Raytool
Voltaje: 380V – Trifásico
Garantía: 3 años",,,,11300,11865,22600,23520.361990950223,25989.999999999996,,,
CORTADORA LASER ,6000W,"📊 Configuración básica
Área de trabajo: 1500 × 3000 mm
Fuente láser: 6000W MAX brand
Cabezal láser: Swiss BM115 – Raytools
Enfriador: Water chiller 6000W – Hanli brand
Sistema de control: Raytool
Voltaje: 380V – Trifásico
Garantía: 3 años",,,,17500,18375,35000,36425.33936651584,40250,,,
