CATEGORIA,SUB CATEGORIA,MAQUINA,MEDIDAS (mm),TIPO MEDIDA,PESO (kg),FOB SHANGHAI (USD),SEÑA,COSTO CON IVA,VENT SIN IVA,VENT CON IVA,,URL Ficha PDF,
PLEGADORA,HIDRAULICA NC (TP10S),160T/3200mm,3400x1700x2520,Maquina,8000,13350,14017.5,26700,27787.330316742078,30704.999999999996,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,
PLEGADORA,HIDRAULICA CNC (DA53TX),160T/3200mm,3400x1700x2520,Maquina,8000,23500,24675,47000,48914.027149321264,54049.99999999999,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,
PLEGADORA,HIDRAULICA NC (TP10S),160T/4000mm,4200x1700x2520,Maquina,9000,15100,15855,30200,31429.864253393665,34730,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,
PLEGADORA,HIDRAULICA CNC (DA53TX),160T/4000mm,4200x1700x2520,Maquina,9000,27000,28350,54000,56199.09502262443,62099.99999999999,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,
PLEGADORA,HIDRAULICA NC (TP10S),200T/3200mm,3400x1800x2550,Maquina,11000,18500,19425,37000,38506.78733031674,42550,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,
PLEGADORA,HIDRAULICA CNC (DA53TX),200T/3200mm,3400x1800x2550,Maquina,11000,25300,26565,50600,52660.63348416289,58189.99999999999,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,
PLEGADORA,HIDRAULICA NC (TP10S),200T/4000mm,4200x1800x2550,Maquina,13000,19990,20989.5,39980,41608.14479638009,45977,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,
PLEGADORA,HIDRAULICA CNC (DA53TX),200T/4000mm,4200x1800x2550,Maquina,13000,27850,29242.5,55700,57968.3257918552,64054.99999999999,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,
PLEGADORA,HIDRAULICA NC (TP10S),200T/6000mm,6200x1900x3100,Maquina,17000,28600,30030,57200,59529.41176470588,65780,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,
PLEGADORA,HIDRAULICA CNC (DA53TX),200T/6000mm,6200x1900x3100,Maquina,17000,39280,41244,78560,81759.27601809955,90344,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,
PLEGADORA,HIDRAULICA NC (TP10S),250T/3200mm,3400x1950x2800,Maquina,12000,19700,20685,39400,41004.52488687783,45310,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,
PLEGADORA,HIDRAULICA CNC (DA53TX),250T/3200mm,3400x1950x2800,Maquina,12000,30580,32109,61160,63650.67873303167,70334,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,
PLEGADORA,HIDRAULICA NC (TP10S),250T/4000mm,4200x1950x2800,Maquina,13000,21500,22575,43000,44751.13122171945,49449.99999999999,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,
PLEGADORA,HIDRAULICA CNC (DA53TX),250T/4000mm,4200x1950x2800,Maquina,13000,34000,35700,68000,70769.23076923077,78200,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,
PLEGADORA,HIDRAULICA NC (TP10S),300T/3200mm,3400x2000x3200,Maquina,14000,24700,25935,49400,51411.76470588235,56809.99999999999,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,
PLEGADORA,HIDRAULICA CNC (DA53TX),300T/3200mm,3400x2000x3200,Maquina,14000,34000,35700,68000,70769.23076923077,78200,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,
PLEGADORA,HIDRAULICA NC (TP10S),300T/4000mm,4200x2000x3200,Maquina,15000,26500,27825,53000,55158.37104072398,60949.99999999999,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,
PLEGADORA,HIDRAULICA CNC (DA53TX),300T/4000mm,4200x2000x3200,Maquina,15000,38500,40425,77000,80135.74660633484,88550,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,
PLEGADORA,HIDRAULICA NC (TP10S),300T/6000mm,6200x2300x3400,Maquina,24000,37880,39774,75760,78845.24886877828,87124,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,
PLEGADORA,HIDRAULICA CNC (DA53TX),300T/6000mm,6200x2300x3400,Maquina,24000,47850,50242.5,95700,99597.2850678733,110054.99999999999,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,
PLEGADORA,HIDRAULICA NC (TP10S),400T/3200mm,3400x2200x3200,Maquina,16000,33500,35175,67000,69728.50678733032,77050,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,
PLEGADORA,HIDRAULICA NC (TP10S),400T/4000mm,4200x2500x3400,Maquina,21000,35080,36834,70160,73017.19457013575,80684,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,
PLEGADORA,HIDRAULICA CNC (DA53TX),400T/4000mm,4200x2500x3400,Maquina,21000,47850,50242.5,95700,99597.2850678733,110054.99999999999,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,
PLEGADORA,HIDRAULICA NC (TP10S),400T/6000mm,6200x2500x3600,Maquina,26000,44899,47143.950000000004,89798,93454.93212669683,103267.7,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,
